sample_index,t_ns,I_norm,Q_norm,rabi_x_MHz,rabi_y_MHz,rabi_envelope_MHz,phase_rad
69,69.000000,3.711884146438e-01,-3.922831694027e-01,1.853081448208e+01,-1.958392651780e+01,2.696147739320e+01,5.470164125966e+00
70,70.000000,3.171796766713e-01,-3.352050978050e-01,1.583453985632e+01,-1.673442175406e+01,2.303852260680e+01,5.470164125966e+00
71,71.000000,2.638358758856e-01,-2.788297519843e-01,1.317146084542e+01,-1.391999912245e+01,1.916386590360e+01,5.470164125966e+00
72,72.000000,2.124705137000e-01,-2.245452800537e-01,1.060715129287e+01,-1.120995904868e+01,1.543291419087e+01,5.470164125966e+00
73,73.000000,1.643483758034e-01,-1.736883458720e-01,8.204753010315e+00,-8.671031713480e+00,1.193753588210e+01,5.470164125966e+00
74,74.000000,1.206543889389e-01,-1.275112159433e-01,6.023421016575e+00,-6.365733934063e+00,8.763798791745e+00,5.470164125966e+00
75,75.000000,8.246444407520e-02,-8.715092445947e-02,4.116866944761e+00,-4.350829792599e+00,5.989850859999e+00,5.470164125966e+00
76,76.000000,5.071890440004e-02,-5.360127574503e-02,2.532036483610e+00,-2.675932916136e+00,3.683995891148e+00,5.470164125966e+00
77,77.000000,2.619945045761e-02,-2.768837349620e-02,1.307953418827e+00,-1.382284824436e+00,1.903011687218e+00,5.470164125966e+00
78,78.000000,9.509832579368e-03,-1.005027936635e-02,4.747587379660e-01,-5.017394268882e-01,6.907519900581e-01,5.470164125966e+00
79,79.000000,1.061004547144e-03,-1.121301770433e-03,5.296845928404e-02,-5.597867354309e-02,7.706665667180e-02,5.470164125966e+00
80,80.000000,-1.536535380087e-03,5.970794275252e-03,-7.670835335974e-02,2.980795646101e-01,3.077914851216e-01,1.822672961883e+00
81,81.000000,-1.360274243105e-02,5.285864399066e-02,-6.790888036720e-01,2.638858560565e+00,2.724836895291e+00,1.822672961883e+00
82,82.000000,-3.655403211663e-02,1.420446340045e-01,-1.824884508789e+00,7.091284795183e+00,7.322330470336e+00,1.822672961883e+00
83,83.000000,-6.814377229136e-02,2.647986182188e-01,-3.401937001864e+00,1.321952376674e+01,1.365023750651e+01,1.822672961883e+00
84,84.000000,-1.052797390883e-01,4.091045813815e-01,-5.255873396907e+00,2.042370074676e+01,2.108913837399e+01,1.822672961883e+00
85,85.000000,-1.443268053358e-01,5.608368503794e-01,-7.205217482434e+00,2.799862069797e+01,2.891086162601e+01,1.822672961883e+00
86,86.000000,-1.814627721327e-01,7.051428135420e-01,-9.059153877476e+00,3.520279767799e+01,3.634976249349e+01,1.822672961883e+00
87,87.000000,-2.130525123074e-01,8.278967977564e-01,-1.063620637055e+01,4.133103664955e+01,4.267766952966e+01,1.822672961883e+00
88,88.000000,-2.360038019930e-01,9.170827877702e-01,-1.178200207567e+01,4.578346288417e+01,4.727516310471e+01,1.822672961883e+00
89,89.000000,-2.480700090440e-01,9.639706374856e-01,-1.238438252598e+01,4.812424188012e+01,4.969220851488e+01,1.822672961883e+00
90,90.000000,-2.480700090440e-01,9.639706374856e-01,-1.238438252598e+01,4.812424188012e+01,4.969220851488e+01,1.822672961883e+00
91,91.000000,-2.360038019930e-01,9.170827877702e-01,-1.178200207567e+01,4.578346288417e+01,4.727516310471e+01,1.822672961883e+00
92,92.000000,-2.130525123074e-01,8.278967977564e-01,-1.063620637055e+01,4.133103664955e+01,4.267766952966e+01,1.822672961883e+00
93,93.000000,-1.814627721327e-01,7.051428135420e-01,-9.059153877476e+00,3.520279767799e+01,3.634976249349e+01,1.822672961883e+00
94,94.000000,-1.443268053358e-01,5.608368503794e-01,-7.205217482434e+00,2.799862069797e+01,2.891086162601e+01,1.822672961883e+00
95,95.000000,-1.052797390883e-01,4.091045813815e-01,-5.255873396907e+00,2.042370074676e+01,2.108913837399e+01,1.822672961883e+00
96,96.000000,-6.814377229136e-02,2.647986182188e-01,-3.401937001864e+00,1.321952376674e+01,1.365023750651e+01,1.822672961883e+00
97,97.000000,-3.655403211663e-02,1.420446340045e-01,-1.824884508789e+00,7.091284795183e+00,7.322330470336e+00,1.822672961883e+00
98,98.000000,-1.360274243105e-02,5.285864399066e-02,-6.790888036720e-01,2.638858560565e+00,2.724836895291e+00,1.822672961883e+00
99,99.000000,-1.536535380087e-03,5.970794275252e-03,-7.670835335974e-02,2.980795646101e-01,3.077914851216e-01,1.822672961883e+00
